Wall time,Step,Value
1736351824.4566824,4096,-2.9878106117248535
1736351826.12061,5000,-2.9666953086853027
1736351829.8240814,8192,-2.9373459815979004
1736351832.2860749,10000,-2.8845934867858887
1736351835.1850016,12288,-2.8248329162597656
1736351837.8325942,14336,-2.754307508468628
1736351839.2789536,15000,-2.656162738800049
1736351843.1769965,18432,-2.524479389190674
1736351845.4272783,20000,-2.369978189468384
1736351848.513932,22528,-2.207361936569214
1736351851.1624672,24576,-2.114018440246582
1736351852.3914871,25000,-2.0141260623931885
1736351856.5194268,28672,-1.9147558212280273
1736351858.5525806,30000,-1.8237671852111816
1736351861.857644,32768,-1.7528868913650513
1736351864.5313551,34816,-1.728499412536621
1736351865.555302,35000,-1.6874911785125732
1736351869.9290504,38912,-1.6649011373519897
1736351871.76327,40000,-1.7343579530715942
1736351875.3202116,43008,-1.740600347518921
1736351877.9753711,45000,-1.7103766202926636
1736351880.715348,47104,-1.7217742204666138
1736351883.3895888,49152,-1.6536409854888916
1736351885.0130734,50000,-1.7402769327163696
