Wall time,Step,Value
1736370995.0294306,5000,20.200000762939453
1736370999.1341221,10000,18.200000762939453
1736371003.296415,15000,22.0
1736371007.4661458,20000,21.799999237060547
1736371011.6349778,25000,20.399999618530273
1736371015.7997222,30000,18.799999237060547
1736371019.9616458,35000,18.200000762939453
1736371024.1064677,40000,17.600000381469727
1736371028.2680469,45000,20.0
1736371032.4432135,50000,22.799999237060547
1736371036.61123,55000,22.200000762939453
1736371040.7802737,60000,21.200000762939453
1736371044.9323795,65000,20.0
1736371049.0879912,70000,19.600000381469727
