Wall time,Step,Value
1736371007.9149218,5000,20.200000762939453
1736371014.16526,10000,18.200000762939453
1736371021.241017,15000,22.0
1736371027.476628,20000,21.799999237060547
1736371034.527844,25000,20.399999618530273
1736371040.7611063,30000,18.799999237060547
1736371047.8093898,35000,18.200000762939453
1736371054.018448,40000,17.600000381469727
1736371060.2477944,45000,20.0
1736371067.3017693,50000,22.799999237060547
1736371073.5388305,55000,22.200000762939453
1736371080.5827935,60000,21.200000762939453
1736371086.797578,65000,20.0
1736371093.8224144,70000,19.600000381469727
