Wall time,Step,Value
1736370923.8853407,5000,1.0199999809265137
1736370931.3580863,10000,15.899999618530273
1736370938.8270226,15000,20.100000381469727
1736370946.3018699,20000,19.899999618530273
1736370953.755449,25000,18.5
1736370961.2154937,30000,16.899999618530273
1736370968.6643507,35000,16.299999237060547
1736370976.1080413,40000,15.699999809265137
1736370983.5601118,45000,18.100000381469727
1736370991.0240138,50000,20.899999618530273
1736370998.4692786,55000,20.299999237060547
1736371005.8767443,60000,19.299999237060547
1736371013.3003664,65000,18.100000381469727
1736371020.7273648,70000,17.700000762939453
