Wall time,Step,Value
1736371006.224716,4096,-2.986981153488159
1736371007.915009,5000,-2.969395399093628
1736371011.658815,8192,-2.944838285446167
1736371014.1653385,10000,-2.9110703468322754
1736371017.0809515,12288,-2.871791362762451
1736371019.7624383,14336,-2.8134982585906982
1736371021.241118,15000,-2.72198486328125
1736371025.1771755,18432,-2.6087324619293213
1736371027.4767504,20000,-2.4651236534118652
1736371030.5981703,22528,-2.335890769958496
1736371033.274706,24576,-2.181288480758667
1736371034.5279517,25000,-2.0742862224578857
1736371038.6940825,28672,-1.998414158821106
1736371040.7611864,30000,-1.9126261472702026
1736371044.1058164,32768,-1.8597391843795776
1736371046.7794096,34816,-1.8103786706924438
1736371047.8094685,35000,-1.850117802619934
1736371052.1807952,38912,-1.8005170822143555
1736371054.018527,40000,-1.7271491289138794
1736371057.5773256,43008,-1.7785216569900513
1736371060.2478833,45000,-1.6906882524490356
1736371062.9864275,47104,-1.604871392250061
1736371065.6581748,49152,-1.6289150714874268
1736371067.3018563,50000,-1.637326955795288
1736371071.0871317,53248,-1.6282374858856201
1736371073.538917,55000,-1.6178288459777832
1736371076.4932833,57344,-1.5665782690048218
1736371079.1647606,59392,-1.6019861698150635
1736371080.5828838,60000,-1.604549527168274
1736371084.5684447,63488,-1.6079140901565552
1736371086.7976584,65000,-1.627596139907837
1736371089.9625437,67584,-1.610371470451355
1736371092.6257894,69632,-1.623958945274353
1736371093.822494,70000,-1.6079299449920654
