Wall time,Step,Value
1736371006.2247436,4096,0.11128667742013931
1736371007.9150379,5000,1.7483588457107544
1736371011.6588426,8192,0.2875955104827881
1736371014.1653657,10000,1.1640491485595703
1736371017.0809789,12288,2.628072500228882
1736371019.762467,14336,2.3889341354370117
1736371021.241147,15000,3.45784592628479
1736371025.177203,18432,3.598686456680298
1736371027.4767811,20000,3.766315460205078
1736371030.5981998,22528,4.013117790222168
1736371033.2747335,24576,3.091146230697632
1736371034.5279794,25000,1.2693272829055786
1736371038.6941104,28672,1.4471367597579956
1736371040.761216,30000,1.0699490308761597
1736371044.105845,32768,1.2150973081588745
1736371046.779438,34816,0.08404361456632614
1736371047.8094964,35000,0.22192035615444183
1736371052.1808228,38912,0.08347592502832413
1736371054.0185556,40000,0.032590240240097046
1736371057.5773537,43008,0.05616322159767151
1736371060.2479122,45000,0.03596273064613342
1736371062.9864545,47104,-0.006462253630161285
1736371065.658202,49152,-0.01233026385307312
1736371067.3018856,50000,-0.03385883569717407
1736371071.0871606,53248,-0.008744150400161743
1736371073.5389452,55000,-0.022353023290634155
1736371076.4933114,57344,-0.02735019102692604
1736371079.164789,59392,-0.02103092148900032
1736371080.5829124,60000,-0.035988591611385345
1736371084.5684736,63488,-0.04941461235284805
1736371086.797686,65000,-0.025613557547330856
1736371089.9625726,67584,-0.05308065563440323
1736371092.6258168,69632,-0.02801956981420517
1736371093.8225222,70000,-0.04888011887669563
