Wall time,Step,Value
1736371006.2248662,4096,0.6394100785255432
1736371007.9150567,5000,1.2917554378509521
1736371011.6589177,8192,2.338672399520874
1736371014.1653855,10000,2.1621084213256836
1736371017.0810692,12288,6.7387800216674805
1736371019.762569,14336,6.517371654510498
1736371021.2411666,15000,7.660349369049072
1736371025.1772678,18432,7.995110988616943
1736371027.4767995,20000,7.679340362548828
1736371030.5982683,22528,7.033315181732178
1736371033.2747982,24576,5.468977451324463
1736371034.5279982,25000,4.335687637329102
1736371038.6941767,28672,4.66548490524292
1736371040.7612345,30000,2.1248152256011963
1736371044.1059513,32768,2.5562245845794678
1736371046.7795236,34816,0.8388371467590332
1736371047.8095148,35000,0.834804892539978
1736371052.1809013,38912,0.4181804358959198
1736371054.0185752,40000,0.6126731634140015
1736371057.5774405,43008,0.36500492691993713
1736371060.247932,45000,0.21938154101371765
1736371062.9865205,47104,0.21144025027751923
1736371065.6582897,49152,0.17835618555545807
1736371067.3019042,50000,0.14995844662189484
1736371071.08725,53248,0.1218186616897583
1736371073.5389636,55000,0.09983338415622711
1736371076.4933739,57344,0.10113032907247543
1736371079.1648586,59392,0.08762380480766296
1736371080.5829327,60000,0.07746060192584991
1736371084.568579,63488,0.05642237514257431
1736371086.797705,65000,0.06202927976846695
1736371089.962633,67584,0.06293035298585892
1736371092.6258872,69632,0.28325116634368896
1736371093.8225412,70000,0.048726942390203476
