Wall time,Step,Value
1736425292.8579848,4096,-2.991262435913086
1736425294.5443573,5000,-2.982480764389038
1736425298.2743816,8192,-2.9725372791290283
1736425300.7689266,10000,-2.9658117294311523
1736425303.6722033,12288,-2.9576656818389893
1736425306.343507,14336,-2.9483377933502197
1736425307.8111854,15000,-2.9407811164855957
1736425311.7499082,18432,-2.9257612228393555
1736425314.0430298,20000,-2.9227094650268555
1736425317.1715372,22528,-2.9132652282714844
1736425319.8484669,24576,-2.8996074199676514
1736425321.1002553,25000,-2.8953349590301514
1736425325.2606173,28672,-2.875662326812744
1736425327.329952,30000,-2.86161732673645
1736425330.6742485,32768,-2.8492026329040527
1736425333.3102465,34816,-2.8403878211975098
1736425334.3349268,35000,-2.83990216255188
1736425338.7010148,38912,-2.8234524726867676
1736425340.5513897,40000,-2.810598611831665
1736425344.0994012,43008,-2.800769329071045
1736425346.7572012,45000,-2.8002889156341553
1736425349.4839756,47104,-2.7774674892425537
1736425352.1512768,49152,-2.7655985355377197
1736425353.7759912,50000,-2.7630105018615723
1736425357.5440462,53248,-2.7438912391662598
1736425359.9907606,55000,-2.7228357791900635
1736425362.938288,57344,-2.7328286170959473
1736425365.6060066,59392,-2.691683530807495
1736425367.0245106,60000,-2.6793317794799805
1736425371.0052352,63488,-2.7032148838043213
1736425373.2389688,65000,-2.6833925247192383
1736425376.4041693,67584,-2.6680071353912354
1736425379.0697587,69632,-2.6461567878723145
1736425380.2664852,70000,-2.6573896408081055
